company,client,method,from,to,sample_size,con,lab,ld,ukip,grn,snp,pdf
Ipsos MORI,Unison,,,2009-06-12,,0.39,0.25,0.19,,,,
ICM,Guardian,,,2009-06-16,,0.39,0.27,0.18,,,,
ComRes,IoS,,,2009-06-17,,0.39,0.22,0.18,,,,
Ipsos MORI,,,,2009-06-19,,0.38,0.21,0.19,,,,
YouGov,Telegraph,,,2009-06-23,,0.38,0.25,0.18,,,,
YouGov,People,,,2009-06-24,,0.4,0.24,0.17,,,,
ComRes,Ind,,,2009-06-26,,0.36,0.25,0.19,,,,
YouGov,Fabians,,,2009-07-01,,0.39,0.26,0.19,,,,
ICM,Guardian,,,2009-07-10,,0.41,0.27,0.2,,,,
ComRes,IoS,,,2009-07-15,,0.38,0.23,0.22,,,,
YouGov,Sun Times,,,2009-07-16,,0.42,0.25,0.18,,,,
Ipsos MORI,,,,2009-07-17,,0.4,0.24,0.18,,,,
Populus,Times,,,2009-07-17,,0.38,0.26,0.2,,,,
YouGov,People,,,2009-07-21,,0.4,0.25,0.2,,,,
ComRes,Ind,,,2009-07-24,,0.42,0.24,0.18,,,,
YouGov,Telegraph,,,2009-07-28,,0.41,0.27,0.18,,,,
ICM,SMirror,,,2009-08-12,,0.43,0.26,0.19,,,,
YouGov,Sun Times,,,2009-08-13,,0.42,0.28,0.18,,,,
ComRes,IoS,,,2009-08-19,,0.41,0.24,0.18,,,,
BPIX,Mail on Sunday,,,2009-08-20,,0.36,0.24,0.17,,,,
Ipsos MORI,Observer,,,2009-08-21,,0.43,0.26,0.17,,,,
ICM,Guardian,,,2009-08-21,,0.41,0.25,0.19,,,,
YouGov,Telegraph,,,2009-08-25,,0.42,0.26,0.18,,,,
YouGov,Sun,,,2009-08-27,,0.42,0.28,0.17,,,,
ComRes,Ind,,,2009-09-04,,0.4,0.24,0.21,,,,
YouGov,Telegraph,,,2009-09-04,,0.4,0.27,0.18,,,,
Opinium,,,,2009-09-04,,0.37,0.28,0.15,,,,
YouGov,Sun Times,,,2009-09-10,,0.41,0.27,0.17,,,,
Populus,Times,,,2009-09-11,,0.41,0.27,0.18,,,,
ICM,Guardian,,,2009-09-18,,0.43,0.26,0.19,,,,
YouGov,Sky,,,2009-09-20,,0.39,0.3,0.17,,,,
YouGov,Sky,,,2009-09-21,,0.39,0.27,0.2,,,,
YouGov,Telegraph,,,2009-09-22,,0.39,0.26,0.2,,,,
YouGov,Sky,,,2009-09-22,,0.38,0.28,0.19,,,,
ICM,NOTW,,,2009-09-23,,0.4,0.26,0.23,,,,
YouGov,Sky,,,2009-09-23,,0.38,0.25,0.23,,,,
BPIX,Mail on Sunday,,,2009-09-24,,0.4,0.25,0.22,,,,
YouGov,Sky,,,2009-09-24,,0.4,0.24,0.21,,,,
Ipsos MORI,,,,2009-09-25,,0.36,0.24,0.25,,,,
ComRes,Ind,,,2009-09-25,,0.38,0.23,0.23,,,,
YouGov,Sky,,,2009-09-27,,0.39,0.29,0.2,,,,
YouGov,Sky,,,2009-09-28,,0.4,0.29,0.18,,,,
YouGov,People,,,2009-09-29,,0.4,0.28,0.18,,,,
YouGov,Sky,,,2009-09-29,,0.37,0.3,0.21,,,,
ComRes,IoS,,,2009-09-30,,0.4,0.28,0.19,,,,
YouGov,Sky,,,2009-09-30,,0.4,0.26,0.2,,,,
YouGov,Sky,,,2009-10-01,,0.41,0.29,0.17,,,,
YouGov,Sky,,,2009-10-04,,0.4,0.27,0.2,,,,
YouGov,Sky,,,2009-10-05,,0.41,0.28,0.18,,,,
YouGov,Sky,,,2009-10-06,,0.43,0.29,0.17,,,,
ICM,NOTW,,,2009-10-07,,0.45,0.26,0.18,,,,
YouGov,Sky,,,2009-10-07,,0.4,0.31,0.18,,,,
BPIX,Mail on Sunday,,,2009-10-08,,0.43,0.29,0.16,,,,
YouGov,Sun,,,2009-10-08,,0.42,0.28,0.18,,,,
BPIX,DM,,,2009-10-08,,0.42,0.28,0.2,,,,
YouGov,Sky,,,2009-10-08,,0.44,0.27,0.17,,,,
Populus,Times,,,2009-10-09,,0.4,0.3,0.18,,,,
ComRes,IoS,,,2009-10-14,,0.4,0.28,0.19,,,,
Angus Reid,PB,,,2009-10-15,,0.4,0.23,0.2,,,,
YouGov,Sun Times,,,2009-10-15,,0.41,0.3,0.17,,,,
ICM,Guardian,,,2009-10-16,,0.44,0.27,0.18,,,,
Ipsos MORI,,,,2009-10-16,,0.43,0.26,0.19,,,,
YouGov,Telegraph,,,2009-10-22,,0.4,0.27,0.19,,,,
ComRes,Ind,,,2009-10-23,,0.4,0.27,0.18,,,,
YouGov,Telegraph,,,2009-10-27,,0.41,0.28,0.16,,,,
ICM,Sun Times,,,2009-10-28,,0.42,0.25,0.21,,,,
Angus Reid,PB,,,2009-11-04,,0.38,0.24,0.2,,,,
YouGov,Channel 4,,,2009-11-05,,0.41,0.27,0.17,,,,
Populus,Times,,,2009-11-06,,0.39,0.29,0.18,,,,
ComRes,Ind,,,2009-11-11,,0.39,0.25,0.17,,,,
YouGov,Sun Times,,,2009-11-12,,0.41,0.27,0.18,,,,
Ipsos MORI,Observer,,,2009-11-13,,0.37,0.31,0.17,,,,
ICM,Guardian,,,2009-11-13,,0.42,0.29,0.19,,,,
Angus Reid,PB,,,2009-11-20,,0.39,0.22,0.21,,,,
YouGov,Telegraph,,,2009-11-24,,0.39,0.29,0.19,,,,
ComRes,Ind,,,2009-11-27,,0.37,0.27,0.2,,,,
ICM,Sun Times,,,2009-12-02,,0.4,0.29,0.19,,,,
YouGov,Sun Times,,,2009-12-03,,0.4,0.27,0.18,,,,
Populus,Times,,,2009-12-04,,0.38,0.3,0.2,,,,
Angus Reid,PB,,,2009-12-08,,0.4,0.23,0.19,,,,
ComRes,IoS,,,2009-12-09,,0.41,0.24,0.21,,,,
BPIX,Mail on Sunday,,,2009-12-10,,0.41,0.3,0.17,,,,
YouGov,Sun Times,,,2009-12-10,,0.4,0.31,0.16,,,,
Ipsos MORI,Observer,,,2009-12-11,,0.43,0.26,0.2,,,,
ICM,Guardian,,,2009-12-11,,0.4,0.31,0.18,,,,
YouGov,People,,,2009-12-15,,0.4,0.28,0.18,,,,
Angus Reid,PB,,,2009-12-16,,0.4,0.24,0.2,,,,
ComRes,Ind,,,2009-12-19,,0.38,0.29,0.19,,,,
YouGov,Telegraph,,,2009-12-29,,0.4,0.3,0.17,,,,
YouGov,Sun,,,2010-01-05,,0.4,0.31,0.17,,,,
ICM,Sun Times,,,2010-01-06,,0.4,0.3,0.18,,,,
YouGov,Sun,,,2010-01-06,,0.42,0.3,0.16,,,,
Populus,Times,,,2010-01-08,,0.41,0.28,0.19,,,,
Angus Reid,PB,,,2010-01-08,,0.4,0.24,0.2,,,,
Opinium,,,,2010-01-08,,0.38,0.32,0.15,,,,
ComRes,IoS,,,2010-01-13,,0.42,0.29,0.19,,,,
YouGov,Sun Times,,,2010-01-14,,0.4,0.31,0.18,,,,
Opinium,,,,2010-01-15,,0.36,0.32,0.15,,,,
ComRes,SMirror,,,2010-01-20,,0.38,0.29,0.19,,,,
ICM,Guardian,,,2010-01-22,,0.4,0.29,0.21,,,,
Opinium,,,,2010-01-23,,0.37,0.3,0.15,,,,
Ipsos MORI,Mirror,,,2010-01-26,,0.4,0.32,0.16,,,,
YouGov,People,,,2010-01-26,,0.4,0.31,0.18,,,,
Angus Reid,PB,,,2010-01-26,,0.4,0.24,0.19,,,,
YouGov,Telegraph,,,2010-01-28,,0.38,0.31,0.19,,,,
ComRes,Ind,,,2010-01-29,,0.38,0.31,0.19,,,,
BPIX,Mail on Sunday,,,2010-01-29,,0.39,0.3,0.18,,,,
Opinium,,,,2010-01-29,,0.39,0.32,0.15,,,,
ICM,Sun Times,,,2010-02-03,,0.39,0.3,0.2,,,,
Populus,Times,,,2010-02-05,,0.4,0.3,0.2,,,,
Opinium,,,,2010-02-06,,0.38,0.32,0.15,,,,
Angus Reid,PB,,,2010-02-09,,0.38,0.25,0.2,,,,
ComRes,IoS,,,2010-02-10,,0.4,0.29,0.21,,,,
Opinium,,,,2010-02-13,,0.39,0.29,0.14,,,,
Harris,Metro,,,2010-02-16,,0.39,0.3,0.22,,,,
Angus Reid,PB,,,2010-02-16,,0.38,0.26,0.19,,,,
YouGov,Sun,,,2010-02-16,,0.39,0.3,0.18,,,,
ComRes,Theos,,,2010-02-17,,0.38,0.3,0.2,,,,
YouGov,Sun,,,2010-02-17,,0.39,0.32,0.18,,,,
Kantar TNS,,,,2010-02-18,,0.36,0.32,0.21,,,,
YouGov,Sun Times,,,2010-02-18,,0.39,0.33,0.17,,,,
Ipsos MORI,Telegraph,,,2010-02-19,,0.37,0.32,0.19,,,,
ICM,Guardian,,,2010-02-19,,0.37,0.3,0.2,,,,
Opinium,,,,2010-02-19,,0.4,0.27,0.17,,,,
YouGov,Sun,,,2010-02-22,,0.38,0.32,0.17,,,,
YouGov,Sun,,,2010-02-23,,0.38,0.32,0.19,,,,
YouGov,Sun,,,2010-02-24,,0.39,0.33,0.16,,,,
Kantar TNS,,,,2010-02-25,,0.39,0.31,0.19,,,,
YouGov,Sun Times,,,2010-02-25,,0.37,0.35,0.17,,,,
ComRes,Ind,,,2010-02-26,,0.37,0.32,0.19,,,,
Opinium,,,,2010-02-26,,0.39,0.29,0.15,,,,
YouGov,Sun,,,2010-02-28,,0.39,0.32,0.17,,,,
YouGov,Sun,,,2010-03-01,,0.38,0.33,0.16,,,,
YouGov,Sun,,,2010-03-02,,0.38,0.32,0.19,,,,
Harris,Metro,,,2010-03-03,,0.37,0.29,0.18,,,,
ICM,NOTW,,,2010-03-03,,0.4,0.31,0.18,,,,
YouGov,Sun,,,2010-03-03,,0.38,0.32,0.17,,,,
BPIX,Mail on Sunday,,,2010-03-04,,0.36,0.34,0.18,,,,
YouGov,Sun Times,,,2010-03-04,,0.38,0.33,0.17,,,,
Opinium,Express,,,2010-03-05,,0.37,0.3,0.16,,,,
YouGov,Sun,,,2010-03-07,,0.39,0.34,0.16,,,,
YouGov,Sun,,,2010-03-08,,0.36,0.32,0.2,,,,
Angus Reid,PB,,,2010-03-09,,0.39,0.26,0.18,,,,
YouGov,Sun,,,2010-03-09,,0.37,0.32,0.17,,,,
Harris,Metro,,,2010-03-10,,0.36,0.28,0.18,,,,
Populus,Resolution Foundation,,,2010-03-10,,0.38,0.31,0.21,,,,
ICM,Sun Times,,,2010-03-10,,0.38,0.31,0.21,,,,
YouGov,Sun,,,2010-03-10,,0.37,0.34,0.17,,,,
YouGov,Sun Times,,,2010-03-11,,0.37,0.33,0.17,,,,
ICM,Guardian,,,2010-03-12,,0.4,0.31,0.2,,,,
Kantar TNS,,,,2010-03-14,,0.34,0.29,0.3,,,,
YouGov,Sun,,,2010-03-14,,0.37,0.32,0.21,,,,
Angus Reid,PB,,,2010-03-15,,0.39,0.26,0.21,,,,
YouGov,Sun,,,2010-03-15,,0.37,0.32,0.19,,,,
YouGov,Sun,,,2010-03-16,,0.36,0.32,0.2,,,,
Harris,Metro,,,2010-03-17,,0.35,0.28,0.17,,,,
ICM,NOTW,,,2010-03-17,,0.38,0.32,0.19,,,,
YouGov,Sun,,,2010-03-17,,0.36,0.32,0.2,,,,
YouGov,Sun Times,,,2010-03-18,,0.38,0.31,0.19,,,,
Ipsos MORI,Mirror,,,2010-03-19,,0.35,0.3,0.21,,,,
Opinium,Express,,,2010-03-19,,0.37,0.3,0.15,,,,
YouGov,Sun,,,2010-03-21,,0.36,0.32,0.2,,,,
YouGov,Sun,,,2010-03-22,,0.37,0.33,0.18,,,,
Harris,Metro,,,2010-03-23,,0.37,0.27,0.19,,,,
YouGov,Sun,,,2010-03-23,,0.36,0.34,0.17,,,,
ICM,NOTW,,,2010-03-24,,0.39,0.31,0.19,,,,
YouGov,Sun,,,2010-03-24,,0.37,0.33,0.18,,,,
Kantar TNS,,,,2010-03-25,,0.38,0.33,0.19,,,,
BPIX,Mail on Sunday,,,2010-03-25,,0.37,0.3,0.2,,,,
YouGov,Sun Times,,,2010-03-25,,0.37,0.32,0.19,,,,
ComRes,Ind,,,2010-03-26,,0.37,0.3,0.2,,,,
Opinium,Express,,,2010-03-26,,0.38,0.28,0.18,,,,
YouGov,Sun,,,2010-03-28,,0.39,0.32,0.18,,,,
ICM,Guardian,,,2010-03-30,,0.38,0.29,0.23,,,,
YouGov,Sun,,,2010-03-30,,0.38,0.32,0.19,,,,
Angus Reid,PB,,,2010-03-30,,0.37,0.28,0.22,,,,
YouGov,Sun,,,2010-03-30,,0.38,0.31,0.19,,,,
OnePoll,S People,,,2010-03-31,,0.37,0.31,0.21,,,,
Harris,Metro,,,2010-03-31,,0.37,0.28,0.19,,,,
Angus Reid,S Express,,,2010-03-31,,0.38,0.27,0.2,,,,
YouGov,Sun,,,2010-03-31,,0.39,0.31,0.19,,,,
ICM,Guardian,,,2010-04-01,,0.37,0.33,0.21,,,,
YouGov,Sun Times,,,2010-04-01,,0.39,0.29,0.2,,,,
Opinium,Express,,,2010-04-02,,0.39,0.29,0.17,,,,
Opinium,Express,,,2010-04-02,,0.39,0.29,0.17,,,,
YouGov,Sun,,,2010-04-04,,0.41,0.31,0.18,,,,
YouGov,Sun,,,2010-04-05,,0.4,0.32,0.17,,,,
YouGov,Sun,,,2010-04-06,,0.37,0.32,0.19,,,,
Angus Reid,PB,,,2010-04-06,,0.37,0.26,0.22,,,,
Populus,Times,,,2010-04-06,,0.39,0.32,0.21,,,,
Kantar TNS,,,,2010-04-07,,0.36,0.33,0.22,,,,
Harris,DM,,,2010-04-07,,0.37,0.27,0.22,,,,
YouGov,Sun,,,2010-04-07,,0.4,0.31,0.18,,,,
ICM,Sun Times,,,2010-04-07,,0.38,0.3,0.21,,,,
Harris,Metro,,,2010-04-08,,0.36,0.27,0.23,,,,
YouGov,Sun,,,2010-04-08,,0.4,0.3,0.2,,,,
Angus Reid,PB,,,2010-04-09,,0.38,0.28,0.22,,,,
Opinium,Express,,,2010-04-09,,0.39,0.31,0.17,,,,
ICM,Guardian,,,2010-04-09,,0.37,0.31,0.2,,,,
BPIX,Mail on Sunday,,,2010-04-09,,0.38,0.31,0.2,,,,
YouGov,Sun Times,,,2010-04-09,,0.4,0.32,0.18,,,,
ComRes,IoS/S Mirror,,,2010-04-09,,0.39,0.32,0.16,,,,
ComRes,ITV/Ind,,,2010-04-10,,0.37,0.3,0.2,,,,
YouGov,Sun,,,2010-04-10,,0.37,0.31,0.2,,,,
ComRes,ITV/Ind,,,2010-04-11,,0.36,0.31,0.19,,,,
YouGov,Sun,,,2010-04-11,,0.39,0.33,0.2,,,,
ComRes,ITV/Ind,,,2010-04-12,,0.35,0.29,0.21,,,,
YouGov,Sun,,,2010-04-12,,0.39,0.31,0.2,,,,
Populus,Times,,,2010-04-12,,0.36,0.33,0.21,,,,
YouGov,Sun,,,2010-04-13,,0.41,0.32,0.18,,,,
Harris,Metro,,,2010-04-14,,0.31,0.26,0.3,,,,
ICM,Sun Times,,,2010-04-14,,0.34,0.29,0.27,,,,
YouGov,Sun,,,2010-04-14,,0.37,0.31,0.22,,,,
OnePoll,S People,,,2010-04-15,,0.27,0.23,0.33,,,,
ComRes,ITN,,,2010-04-15,,0.35,0.28,0.24,,,,
Angus Reid,PB,,,2010-04-16,,0.32,0.24,0.32,,,,
Opinium,Express,,,2010-04-16,,0.32,0.26,0.29,,,,
ICM,Guardian,,,2010-04-16,,0.33,0.28,0.3,,,,
ComRes,Ios/S Mirror,,,2010-04-16,,0.31,0.27,0.29,,,,
YouGov,Sun Times,,,2010-04-16,,0.33,0.3,0.29,,,,
BPIX,Mail on Sunday,,,2010-04-16,,0.31,0.28,0.32,,,,
ComRes,ITV/Ind,,,2010-04-17,,0.32,0.28,0.28,,,,
YouGov,Sun,,,2010-04-17,,0.32,0.26,0.33,,,,
YouGov,Sun,,,2010-04-17,,0.33,0.28,0.3,,,,
Ipsos MORI,ES,,,2010-04-18,,0.32,0.28,0.32,,,,
ComRes,ITV/Ind,,,2010-04-18,,0.35,0.26,0.26,,,,
YouGov,Sun,,,2010-04-18,,0.33,0.27,0.31,,,,
ComRes,ITV/Ind,,,2010-04-19,,0.35,0.25,0.27,,,,
YouGov,Sun,,,2010-04-19,,0.31,0.26,0.34,,,,
Angus Reid,PB,,,2010-04-19,,0.32,0.23,0.33,,,,
Populus,Times,,,2010-04-19,,0.32,0.28,0.31,,,,
Harris,Metro,,,2010-04-20,,0.32,0.25,0.3,,,,
YouGov,Sun,,,2010-04-20,,0.33,0.27,0.31,,,,
Kantar TNS,,,,2010-04-21,,0.34,0.27,0.3,,,,
YouGov,Sun,,,2010-04-21,,0.34,0.29,0.28,,,,
OnePoll,S People,,,2010-04-22,,0.32,0.23,0.32,,,,
Harris,DM,,,2010-04-22,,0.34,0.26,0.29,,,,
Angus Reid,Econ,,,2010-04-23,,0.33,0.23,0.3,,,,
Opinium,Express,,,2010-04-23,,0.34,0.25,0.28,,,,
ICM,Guardian,,,2010-04-23,,0.33,0.28,0.3,,,,
BPIX,Mail on Sunday,,,2010-04-23,,0.34,0.26,0.3,,,,
YouGov,Sun Times,,,2010-04-23,,0.35,0.27,0.28,,,,
ComRes,IoS/S Mirror,,,2010-04-23,,0.34,0.28,0.29,,,,
Ipsos MORI,NOTW,,,2010-04-23,,0.36,0.3,0.23,,,,
ICM,Sun Times,,,2010-04-23,,0.35,0.26,0.31,,,,
YouGov,Sun,,,2010-04-23,,0.34,0.29,0.29,,,,
ComRes,Ind,,,2010-04-24,,0.32,0.28,0.31,,,,
YouGov,Sun,,,2010-04-24,,0.34,0.28,0.3,,,,
ComRes,ITV/Ind,,,2010-04-25,,0.33,0.29,0.29,,,,
YouGov,Sun,,,2010-04-25,,0.33,0.28,0.29,,,,
ComRes,ITV/Ind,,,2010-04-26,,0.36,0.29,0.26,,,,
YouGov,Sun,,,2010-04-26,,0.33,0.29,0.28,,,,
Populus,Times,,,2010-04-26,,0.36,0.27,0.28,,,,
YouGov,Sun,,,2010-04-27,,0.34,0.27,0.31,,,,
Harris,Metro,,,2010-04-28,,0.36,0.26,0.28,,,,
YouGov,Sun,,,2010-04-28,,0.34,0.27,0.28,,,,
Kantar TNS,,,,2010-04-29,,0.33,0.27,0.29,,,,
OnePoll,S People,,,2010-04-29,,0.3,0.21,0.32,,,,
Angus Reid,S Express,,,2010-04-29,,0.35,0.23,0.29,,,,
Harris,DM,,,2010-04-29,,0.33,0.24,0.32,,,,
Opinium,Express,,,2010-04-30,,0.33,0.28,0.27,,,,
ICM,Guardian,,,2010-04-30,,0.33,0.28,0.28,,,,
BPIX,Mail on Sunday,,,2010-04-30,,0.34,0.27,0.3,,,,
ComRes,IoS/S Mirror,,,2010-04-30,,0.38,0.28,0.25,,,,
YouGov,ST,,,2010-04-30,,0.35,0.27,0.28,,,,
ICM,Sun Times,,,2010-04-30,,0.36,0.29,0.27,,,,
YouGov,Sun,,,2010-04-30,,0.34,0.28,0.28,,,,
ComRes,ITV/Ind,,,2010-05-01,,0.37,0.29,0.26,,,,
YouGov,Sun,,,2010-05-01,,0.34,0.28,0.29,,,,
ComRes,ITV/Ind,,,2010-05-02,,0.37,0.29,0.26,,,,
YouGov,Sun,,,2010-05-02,,0.35,0.28,0.28,,,,
ICM,Guardian,,,2010-05-03,,0.36,0.28,0.26,,,,
YouGov,Sun,,,2010-05-03,,0.35,0.3,0.24,,,,
ComRes,ITV/Ind,,,2010-05-04,,0.37,0.28,0.28,,,,
Opinium,Express,,,2010-05-04,,0.35,0.27,0.26,,,,
YouGov,Sun,,,2010-05-04,,0.35,0.28,0.28,,,,
Harris,DM,,,2010-05-04,,0.35,0.29,0.27,,,,
Populus,Times,,,2010-05-04,,0.37,0.28,0.27,,,,
Angus Reid,PB,,,2010-05-04,,0.36,0.24,0.29,,,,
Ipsos MORI,ES,,,2010-05-05,,0.36,0.29,0.27,,,,
ICM,Sunday Telegraph,,,2010-05-13,,0.38,0.33,0.21,,,,
ComRes,Indt on Sun/S Mirror,,,2010-05-13,,0.38,0.34,0.21,,,,
YouGov,Sunday Times,,,2010-05-14,,0.37,0.34,0.21,,,,
YouGov,Sunday Times,,,2010-05-21,,0.39,0.32,0.21,,,,
Opinium,,,,2010-05-21,,0.38,0.29,0.21,,,,
ICM,Guardian,,,2010-05-23,,0.39,0.32,0.21,,,,
ComRes,Independent,,,2010-05-31,,0.37,0.33,0.21,,,,
Opinium,,,,2010-06-04,,0.42,0.28,0.19,,,,
Harris,Metro,,,2010-06-09,,0.36,0.3,0.25,,,,
BPIX,Mail on Sunday,,,2010-06-11,,0.39,0.32,0.19,,,,
YouGov,Sunday Times,,,2010-06-11,,0.4,0.32,0.18,,,,
ComRes,Independent on Sunday,,,2010-06-17,,0.36,0.3,0.23,,,,
YouGov,Sunday Times,,,2010-06-18,,0.39,0.34,0.19,,,,
Opinium,,,,2010-06-18,,0.4,0.31,0.19,,,,
ICM,Guardian,,,2010-06-20,,0.39,0.31,0.21,,,,
Ipsos MORI,Reuters,,,2010-06-20,,0.39,0.31,0.19,,,,
YouGov,Sun,,,2010-06-21,,0.41,0.33,0.18,,,,
YouGov,Sun,,,2010-06-22,,0.41,0.37,0.15,,,,
YouGov,Sun,,,2010-06-23,,0.42,0.34,0.17,,,,
Populus,Times,,,2010-06-23,,0.39,0.33,0.18,,,,
YouGov,Sun,,,2010-06-24,,0.43,0.34,0.17,,,,
ICM,Sunday Telegraph,,,2010-06-24,,0.41,0.35,0.16,,,,
YouGov,Sunday Times,,,2010-06-25,,0.43,0.36,0.16,,,,
ComRes,Independent,,,2010-06-27,,0.4,0.31,0.18,,,,
YouGov,Sun,,,2010-06-28,,0.42,0.35,0.16,,,,
YouGov,Sun,,,2010-06-29,,0.42,0.36,0.15,,,,
YouGov,Sun,,,2010-06-30,,0.42,0.36,0.15,,,,
YouGov,Sun,,,2010-07-01,,0.42,0.35,0.16,,,,
YouGov,Sunday Times,,,2010-07-02,,0.41,0.36,0.16,,,,
Opinium,,,,2010-07-02,,0.37,0.33,0.18,,,,
YouGov,Sun,,,2010-07-05,,0.4,0.36,0.16,,,,
YouGov,Sun,,,2010-07-06,,0.41,0.36,0.15,,,,
YouGov,Sun,,,2010-07-07,,0.4,0.36,0.17,,,,
YouGov,Sun,,,2010-07-08,,0.42,0.35,0.16,,,,
YouGov,Sunday Times,,,2010-07-09,,0.42,0.34,0.17,,,,
Opinium,,,,2010-07-09,,0.38,0.34,0.16,,,,
YouGov,Sun,,,2010-07-12,,0.42,0.35,0.15,,,,
YouGov,Sun,,,2010-07-13,,0.42,0.35,0.15,,,,
YouGov,Sun,,,2010-07-14,,0.43,0.34,0.15,,,,
YouGov,Sun,,,2010-07-15,,0.43,0.34,0.15,,,,
YouGov,Sunday Times,,,2010-07-16,,0.4,0.37,0.15,,,,
YouGov,Sun,,,2010-07-19,,0.42,0.35,0.15,,,,
YouGov,Sun,,,2010-07-20,,0.43,0.35,0.14,,,,
YouGov,Sun,,,2010-07-21,,0.44,0.35,0.13,,,,
YouGov,Sun,,,2010-07-22,,0.43,0.35,0.15,,,,
YouGov,Sunday Times,,,2010-07-23,,0.41,0.36,0.14,,,,
Ipsos MORI,Reuters,,,2010-07-25,,0.4,0.38,0.14,,,,
ICM,Guardian,,,2010-07-25,,0.38,0.34,0.19,,,,
YouGov,Sun,,,2010-07-26,,0.42,0.35,0.15,,,,
YouGov,Sun,,,2010-07-27,,0.42,0.37,0.14,,,,
YouGov,Sun,,,2010-07-28,,0.42,0.36,0.14,,,,
YouGov,Sun,,,2010-07-29,,0.41,0.35,0.15,,,,
YouGov,Sunday Times,,,2010-07-30,,0.42,0.38,0.12,,,,
YouGov,Sun,,,2010-08-02,,0.42,0.38,0.12,,,,
YouGov,Sun,,,2010-08-03,,0.41,0.36,0.13,,,,
YouGov,Sun,,,2010-08-04,,0.42,0.36,0.13,,,,
YouGov,Sun,,,2010-08-05,,0.44,0.36,0.13,,,,
YouGov,Sunday Times,,,2010-08-06,,0.42,0.36,0.13,,,,
ComRes,Independent,,,2010-08-08,,0.39,0.33,0.16,,,,
YouGov,Sun,,,2010-08-09,,0.4,0.36,0.15,,,,
YouGov,Sun,,,2010-08-10,,0.42,0.38,0.14,,,,
YouGov,Sun,,,2010-08-11,,0.41,0.37,0.15,,,,
YouGov,Sun,,,2010-08-12,,0.42,0.37,0.14,,,,
YouGov,Sunday Times,,,2010-08-13,,0.42,0.37,0.13,,,,
Opinium,,,,2010-08-13,,0.39,0.3,0.16,,,,
Harris,Daily Mail,,,2010-08-13,,0.38,0.36,0.16,,,,
ICM,Guardian,,,2010-08-15,,0.37,0.37,0.18,,,,
ComRes,Mirror/GMTV,,,2010-08-15,,0.39,0.33,0.15,,,,
YouGov,Sun,,,2010-08-16,,0.41,0.37,0.15,,,,
YouGov,Sun,,,2010-08-17,,0.42,0.37,0.14,,,,
YouGov,Sun,,,2010-08-18,,0.44,0.36,0.12,,,,
YouGov,Sun,,,2010-08-19,,0.41,0.37,0.14,,,,
YouGov,Sunday Times,,,2010-08-20,,0.41,0.38,0.12,,,,
YouGov,Sun,,,2010-08-23,,0.41,0.39,0.12,,,,
YouGov,Sun,,,2010-08-24,,0.41,0.38,0.13,,,,
YouGov,Sun,,,2010-08-25,,0.42,0.37,0.12,,,,
YouGov,Sun,,,2010-08-26,,0.42,0.37,0.12,,,,
YouGov,Sunday Times,,,2010-08-27,,0.41,0.37,0.13,,,,
YouGov,Sun,,,2010-08-31,,0.43,0.38,0.11,,,,
YouGov,Sun,,,2010-09-01,,0.43,0.37,0.12,,,,
YouGov,Sun,,,2010-09-02,,0.42,0.37,0.12,,,,
YouGov,Sunday Times,,,2010-09-03,,0.42,0.37,0.12,,,,
ComRes,Independent,,,2010-09-05,,0.38,0.34,0.18,,,,
YouGov,Sun,,,2010-09-06,,0.42,0.37,0.13,,,,
YouGov,Sun,,,2010-09-07,,0.42,0.38,0.13,,,,
YouGov,Sun,,,2010-09-08,,0.43,0.38,0.12,,,,
YouGov,Sun,,,2010-09-09,,0.42,0.37,0.14,,,,
YouGov,Sunday Times,,,2010-09-10,,0.42,0.38,0.14,,,,
Opinium,,,,2010-09-11,,0.41,0.27,0.15,,,,
Populus,Times,,,2010-09-12,,0.39,0.37,0.14,,,,
Ipsos MORI,Reuters,,,2010-09-12,,0.37,0.37,0.15,,,,
YouGov,Sun,,,2010-09-13,,0.41,0.38,0.12,,,,
YouGov,Sun,,,2010-09-14,,0.4,0.39,0.12,,,,
YouGov,Sun,,,2010-09-15,,0.42,0.39,0.12,,,,
YouGov,Sun,,,2010-09-16,,0.41,0.38,0.12,,,,
ComRes,Independent on Sunday,,,2010-09-16,,0.37,0.35,0.15,,,,
YouGov,Sunday Times,,,2010-09-17,,0.41,0.39,0.13,,,,
Opinium,,,,2010-09-17,,0.37,0.35,0.13,,,,
Opinium,,,,2010-09-18,,0.42,0.28,0.18,,,,
YouGov,Sun,,,2010-09-20,,0.42,0.38,0.11,,,,
YouGov,Sun,,,2010-09-21,,0.39,0.39,0.13,,,,
YouGov,Sun,,,2010-09-22,,0.43,0.36,0.14,,,,
YouGov,Sun,,,2010-09-23,,0.41,0.37,0.13,,,,
YouGov,Sunday Times,,,2010-09-24,,0.39,0.38,0.15,,,,
Opinium,,,,2010-09-25,,0.4,0.26,0.18,,,,
YouGov,Sun,,,2010-09-27,,0.39,0.4,0.12,,,,
YouGov,Sun,,,2010-09-28,,0.41,0.4,0.12,,,,
ICM,Guardian,,,2010-09-29,,0.35,0.37,0.18,,,,
YouGov,Sun,,,2010-09-29,,0.41,0.39,0.12,,,,
YouGov,Sun,,,2010-09-30,,0.41,0.39,0.12,,,,
YouGov,Sunday Times,,,2010-10-01,,0.39,0.41,0.11,,,,
